cve_ent,pobreza,pobreza_mil,pobreza_m,pobreza_m_mil,pobreza_e,pobreza_e_mil,vul_car,vul_car_mil,vul_ing,vul_ing_mil,no_pobv,no_pbv_mil,carencias,carencias_mil,carencias3,carencias3_mil,ic_rezedu,ic_rezedu_mil,ic_asalud,ic_asalud_mil,ic_segsoc,ic_segsoc_mil,ic_cv,ic_cv_mil,ic_sbv,ic_sbv_mil,ic_ali_nc,ic_ali_nc_mil,plp_e,plp_e_mil,plp,plp_mil,anio
30,60.49190767,4744.292,45.73080157,3586.6,14.7611061,1157.692,20.04343062,1571.977,4.687732297,367.652,14.77692942,1158.933,80.53533828,6316.269,34.46923786,2703.372,26.40149874,2070.631,19.42871817,1523.766,67.76385229,5314.62,17.50752978,1373.09,39.20441462,3074.745,23.79446309,1866.165,24.83917207,1948.1,65.17963996,5111.944,2016
31,45.50456785,990.563,39.00492594,849.076,6.499641913,141.487,27.21018466,592.323,7.01704257,152.75,20.26820492,441.207,72.71475251,1582.886,25.51006205,555.314,21.70459698,472.475,14.41050181,313.694,51.78402852,1127.257,15.76912069,343.269,35.47674316,772.273,21.99607413,478.82,12.05282145,262.371,52.52161042,1143.313,2016
32,50.19457352,800.359,46.42295171,740.22,3.771621806,60.139,21.87740081,348.838,9.92710627,158.289,18.0009194,287.027,72.07197433,1149.197,12.02454919,191.733,19.2724048,307.301,11.47604316,182.987,61.52787716,981.07,5.145395491,82.044,10.74371924,171.31,15.8994,253.518,19.49855536,310.907,60.12167979,958.648,2016
1,26.2654077,360.841,25.27714572,347.264,0.988261978,13.577,25.5387509,350.858,11.98157554,164.606,36.21426585,497.521,51.80415861,711.699,6.662779712,91.535,15.56594503,213.849,11.40370032,156.667,35.79689131,491.787,4.576926044,62.879,2.492819324,34.247,13.81128323,189.743,7.045433701,96.792,38.24698324,525.447,2018
2,23.59868708,884.189,22.24736386,833.558,1.351323219,50.631,33.91076372,1270.559,8.801549707,329.774,33.68899949,1262.25,57.5094508,2154.748,10.05700374,376.813,15.91780872,596.404,16.86046015,631.723,36.69024963,1374.7,9.468870804,354.777,8.932755983,334.69,14.76289457,553.132,4.027653671,150.907,32.40023679,1213.963,2018
3,18.57216428,141.365,17.40461345,132.478,1.167550836,8.887,37.74104466,287.272,5.346140001,40.693,38.34065105,291.836,56.31320895,428.637,10.89591495,82.936,13.59808504,103.504,10.74548784,81.791,30.85647546,234.869,14.16839428,107.845,13.24310334,100.802,18.90770213,143.919,3.276946159,24.943,23.91830429,182.058,2018
4,48.96429615,430.853,39.48914292,347.478,9.475153222,83.375,27.08444848,238.325,5.934770034,52.222,18.01648535,158.533,76.04874462,669.178,29.99728388,263.956,19.36817917,170.427,11.69589048,102.916,58.36660291,513.587,16.53341789,145.483,38.99524168,343.132,29.68544196,261.212,16.92810703,148.956,54.89906618,483.075,2018
5,25.50770516,778.06,23.97768871,731.39,1.530016451,46.67,22.04102293,672.316,14.57397221,444.549,37.8772997,1155.369,47.54872809,1450.376,7.649590498,233.335,14.24138132,434.404,13.20157991,402.687,25.72483177,784.683,4.437080491,135.344,3.881986458,118.412,18.57214419,566.505,6.571530482,200.451,40.08167737,1222.609,2018
6,30.41075004,219.794,28.49404567,205.941,1.91670437,13.853,32.51230368,234.983,6.213343185,44.907,30.86360309,223.067,62.92305372,454.777,13.22460986,95.581,18.14608351,131.151,10.83582036,78.316,43.88399324,317.172,9.392999802,67.888,10.54388026,76.206,23.03338217,166.474,7.468132178,53.976,36.62409322,264.701,2018
7,77.99501847,4165.976,47.42740393,2533.257,30.56761454,1632.719,12.26591999,655.164,2.965849742,158.416,6.773211796,361.78,90.26093846,4821.14,45.25959423,2417.467,31.22041002,1667.587,17.59250869,939.675,83.130288,4440.268,23.58619641,1259.818,57.11117967,3050.5,25.68089706,1371.703,49.3562472,2636.283,80.96086822,4324.392,2018
