no,cve_ent,year,valor,entidad,entidad_abr_m
1045,22,1979,725534,Querétaro,QRO
1045,23,1979,208840,Quintana Roo,QROO
1045,24,1979,1678919,San Luis Potosí,SLP
1045,25,1979,1801309,Sinaloa,SIN
1045,26,1979,1488681,Sonora,SON
1045,27,1979,1046601,Tabasco,TAB
1045,28,1979,1901787,Tamaulipas,TAM
1045,29,1979,553927,Tlaxcala,TLAX
1045,30,1979,5352392,Veracruz,VER
1045,31,1979,1059624,Yucatán,YUC
1045,32,1979,1144733,Zacatecas,ZAC
1045,00,1980,68072118,Nacional,Nacional
1045,01,1980,528402,Aguascalientes,AGS
1045,02,1980,1195693,Baja California,BC
1045,03,1980,215559,Baja California Sur,BCS
1045,04,1980,425515,Campeche,CAMP
1045,05,1980,1566812,Coahuila,COAH
1045,06,1980,351200,Colima,COL
1045,07,1980,2164464,Chiapas,CHPS
1045,08,1980,2044907,Chihuahua,CHIH
1045,09,1980,8960023,Ciudad de México,CDMX
1045,10,1980,1198946,Durango,DGO
1045,11,1980,3072923,Guanajuato,GTO
1045,12,1980,2179226,Guerrero,GRO
1045,13,1980,1575908,Hidalgo,HGO
1045,14,1980,4498784,Jalisco,JAL
1045,15,1980,7619093,México,MEX
1045,16,1980,2968103,Michoacán,MICH
1045,17,1980,959974,Morelos,MOR
1045,18,1980,733225,Nayarit,NAY
1045,19,1980,2516119,Nuevo León,NL
1045,20,1980,2467190,Oaxaca,OAX
1045,21,1980,3450129,Puebla,PUE
1045,22,1980,751940,Querétaro,QRO
1045,23,1980,226560,Quintana Roo,QROO
1045,24,1980,1712055,San Luis Potosí,SLP
1045,25,1980,1851220,Sinaloa,SIN
1045,26,1980,1523995,Sonora,SON
1045,27,1980,1077036,Tabasco,TAB
1045,28,1980,1940259,Tamaulipas,TAM
1045,29,1980,568014,Tlaxcala,TLAX
1045,30,1980,5482746,Veracruz,VER
1045,31,1980,1087444,Yucatán,YUC
1045,32,1980,1158654,Zacatecas,ZAC
1045,00,1981,69715468,Nacional,Nacional
1045,01,1981,548449,Aguascalientes,AGS
1045,02,1981,1240192,Baja California,BC
1045,03,1981,225598,Baja California Sur,BCS
1045,04,1981,438803,Campeche,CAMP
1045,05,1981,1611025,Coahuila,COAH
1045,06,1981,360452,Colima,COL
1045,07,1981,2257421,Chiapas,CHPS
1045,08,1981,2089110,Chihuahua,CHIH
1045,09,1981,8986452,Ciudad de México,CDMX
1045,10,1981,1219538,Durango,DGO
1045,11,1981,3166628,Guanajuato,GTO
1045,12,1981,2232364,Guerrero,GRO
1045,13,1981,1612206,Hidalgo,HGO
1045,14,1981,4602864,Jalisco,JAL
1045,15,1981,7901275,México,MEX
1045,16,1981,3035977,Michoacán,MICH
